canonical,ad_name,spend,TD,hook_frame,master_frame,close_type,specificity,pain_target,production_cue,language,evidence_hook,evidence_close,evidence_names,evidence_pain,confidence,notes,notion_source,transcript_used
anz_fb_leads_conv_parents-all-pri+sec_australia_static_y-tes,ANZ_FB_Leads_Conv_Parents-All-Pri+Sec_Australia_Static_Y-Testimonial-Vishal_020326,203618,13,Academic-Outcome,Outcome-First,Free-Class,Named-child,Competition-Prep,Static-Graphic,English,He always is in the accelerated pathways,Book a Free Class,Vishal Sharma,top of his peer group in NAPLAN,High,Vishal NAPLAN static,english-testimonial-vishal-sharma-naplan,yes
anz_fb_leads_conv_influencers_australia_video_jugnu,ANZ_FB_Leads_Conv_Influencers_Australia_Video_Jugnu_200326,203515,8,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Confidence,UGC-polished,English,Jugnu influencer endorsement,Book a Free Class,Jugnu influencer,confidence and engagement,Low,Jugnu influencer perf cut,influencer-jugnu-perf-cut,no
influencers_montage,USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_LP_Influencer_Perf_Edit_NA_Video_Influencers_Montage_250326,202752,7,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,"Confidence,Foundation",UGC-polished,English,Multiple influencers endorse Cuemath,Book a Free Class,none,confidence grades foundation,Low,Influencer montage,influencers-montage,no
color_their_future,USA_FB_Leads_Conv_LAL_Enrolled_Signup_LP_Holi_Creatives_NA_Static_Color_Their_Future_200226,202150,6,Cultural,Cultural-Relatability,Free-Class,Anonymous,Concept-Clarity,Static-Graphic,English,Color Their Future with Strong Math Skills,Book a Free Class,none,deep conceptual understanding,High,Holi 2026 static,holi-2026,no
anz-nz_fb_leads_conv_hni_new-zealand_video_tamil-parent-shoo,ANZ-NZ_FB_Leads_Conv_HNI_New-Zealand_Video_Tamil-Parent-Shoot-in-English_140226,200616,2,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Foundation,Studio,Tamil,Tamil parent testimonial,Book a Free Class,none,grades and foundation,Low,Tamil parent shoot,name-only,no
english_testimonial_jyoti_sharma_grade2,USA_FB_Leads_Conv_PayU_New_Audience_35-55_LeadGen_NA_Video_English_Testimonial_Jyoti_Sharma_Grade2_060426,200182,5,Enrichment,Top-Tutors,Free-Class,Named-parent,Engagement,UGC-polished,English,I was looking something to level him up a little bit,Book a Free Class,Jyothi Sharma,He is excited for his class he waits for his class,High,Jyothi Sharma transcript matches Likita doc,english-testimonial-jyoti-sharma-grade-2,yes
anz_fb_leads_conv_influencers_australia_video_influencer-sah,ANZ_FB_Leads_Conv_Influencers_Australia_Video_Influencer-Sahar_090426,194163,6,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Confidence,UGC-polished,English,Sahar influencer endorsement,Book a Free Class,Sahar influencer,confidence and engagement,Low,Sahar influencer perf cut,influencer-perf-edit-sahar,no
testimonial-ananth-29s-telugu,USA_PFX_FB_Leads_Conv_Advantage+Audience_Telugu_LeadGen_NA_Video_Testimonial-Ananth-29s-Telugu_250925,194137,4,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Foundation,UGC-polished,Telugu,Ananth Telugu testimonial,Book a Free Class,Ananth,grades and school improvement,Low,Telugu vernac testimonial,none,no
satish-english-testimonial,USA_FB_Leads_Conv_Advantage_Audience_High_NRI_Creatives_Scaling_Signup_Old-LP_NA_Video-Satish-English-Testimonial-030426,193993,5,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,"Confidence,Foundation",Studio,English,Satish parent testimonial,Book a Free Class,Satish,confidence grades tutor quality,Low,Satish testimonial,none,no
anz_fb_leads_conv_int-parents_australia_static_y-testimonial,ANZ_FB_Leads_Conv_int-Parents_Australia_Static_Y-Testimonial-Vishal_200326,192582,5,Academic-Outcome,Outcome-First,Free-Class,Named-child,Competition-Prep,Static-Graphic,English,He always is in the accelerated pathways,Book a Free Class,Vishal Sharma,top of his peer group in NAPLAN,High,Vishal static variant,english-testimonial-vishal-sharma-naplan,yes
anz_fb_leads_conv_lal-ql-0to2%_australia_video_testimonial-v,ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Video_Testimonial-Vandana_280126,192146,6,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,Studio,English,Vandana parent testimonial,Book a Free Class,Vandana,confidence and progress,Low,Vandana studio testimonial,none,no
anz_fb_leads_conv_parents-all-pri+sec_australia_static_y-nap,ANZ_FB_Leads_Conv_Parents-All-Pri+Sec_Australia_Static_Y-NAPLAN-Chinese_290126,191420,6,Cultural,Cultural-Relatability,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,NAPLAN Chinese-targeted static,Book a Free Class,none,NAPLAN preparation,Medium,Chinese-targeted NAPLAN static,name-only,no
anz-sg_fb_leads_conv_int4c_singapore_video_mother-video-v2,ANZ-SG_FB_Leads_Conv_int4C_Singapore_Video_Mother-Video-V2_050226,190593,6,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,"Confidence,Foundation",UGC-polished,English,Mother video V2,Book a Free Class,none,confidence grades foundation,Low,Generic mother UGC video,name-only,no
anz-uk_fb_leads_conv_payu_uk_static_p-gamified,ANZ-UK_FB_Leads_Conv_PayU_UK_Static_P-Gamified_250226,189495,3,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Engagement,Static-Graphic,English,Gamified math learning,Book a Free Class,none,fun and engagement,Medium,UK gamified static,name-only,no
anz_fb_leads_conv_int-4c_australia_video_testimonial-mohit-k,ANZ_FB_Leads_Conv_Int-4C_Australia_Video_Testimonial-Mohit-Kukreja_060126,188745,12,Enrichment,1-1-Personalization,Recommendation,Named-child,Engagement,UGC-polished,English,We were looking for more of mathematics tutoring where they have more of creative thinking,I will 100% recommend Cuemath,Now Agam is very keen to do his homework,He loves that challenge,High,Mohit Kukreja Australia testimonial,mohit-kukreja-australia-testimonial,yes
boost-score-in-amc8,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_AMC_LeadGen_NA_Static-Boost-score-in-AMC8--310126,188026,4,Competition,Competition-Prep,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,Boost score in AMC 8,Book a Free Class,none,AMC 8 preparation,High,,name-only,no
anz-uk_fb_leads_conv_int4c_uk_video_testimonial-vandana,ANZ-UK_FB_Leads_Conv_int4C_UK_Video_Testimonial-Vandana_100226,184492,11,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,UGC-polished,English,Vandana parent testimonial,Book a Free Class,Vandana,grades and confidence,Low,Vandana UK testimonial,none,no
naplan-chinese,ANZ_PFX_FB_Leads-Conv_Australia_LeadGen_NA_Static_NAPLAN-Chinese_061125,182062,8,Cultural,Cultural-Relatability,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,NAPLAN Chinese-targeted static,Book a Free Class,none,NAPLAN preparation,Medium,Chinese-targeted NAPLAN PLA,name-only,no
