Month,Season,School Phase,Event / Occasion,Category,Sub-Type,Target Audience,Ad Angle / Hook,Platform Fit,Priority
May,Summer,Summer Vacation,Silverzone / Unified Olympiad Registration,Olympiad,School Olympiad,Students Gr 2–8,Register now – Olympiad spots fill fast! 🥇,"Google, Meta",H
Jun,Summer → Monsoon,New Academic Year Begins,New Academic Year (schools reopen),School Rhythm,Year Start,Parents of Gr 2–8,"New class, new chapter – build the right Math foundation from Day 1","Meta, Google Search",H
Jun,Summer → Monsoon,New Academic Year,International Yoga Day – Jun 21,Social / Awareness,Mindfulness,"Parents, Students",A focused mind solves Math faster 🧘,"Instagram, YouTube",M
Jun,Summer → Monsoon,New Academic Year,Eid al-Adha (Bakra Eid),Festival – Muslim,Major Festival,Muslim families,Eid Mubarak! Knowledge is the greatest gift 🌙,"Meta, Instagram",H
Jun,Monsoon,New Academic Year,IOQM Registration Opens,Olympiad,Math Olympiad Track,Students Gr 6–8 advanced,IOQM registrations open – the first step on India's IMO path 🇮🇳,"Google, Math communities",H
Jun,Monsoon,New Academic Year,Monsoon Begins,Season,Indoor Learning Season,"Parents, Kids",Rainy days + Cuemath = the perfect learning combo 🌧️,"Meta, Instagram, YouTube",H
Jun–Jul (varies),,,Eid al-Adha,Regional Festival,Pan-India,"Devotional, generous, family-centric","Eid Mubarak! This Eid, invest in the gift of learning for your child 🌙","Meta, Instagram",H
Jul,Monsoon,Term 1 Running,Guru Purnima,Festival – Hindu,Teachers & Learning,"Parents, Students",On the day we honour teachers – thank a great Math teacher 🙏,"Meta, Instagram",H
Jul,Monsoon,Term 1 Running,Muharram / Islamic New Year,Festival – Muslim,Religious,Muslim families,"New year, new knowledge goals 🌙",Meta,M
Jul,Monsoon,Term 1 Running,SOF Olympiad Registration Deadline,Olympiad,SOF School Olympiad,"Students Gr 2–8, Parents",Last chance to register for this year's Olympiad – don't miss out!,"Google, Meta",H
Jul,Monsoon,Term 1 Running,Monsoon Indoor Learning Push,Season,Seasonal Hook,Parents of Gr 2–8,Monsoon's here – keep Math sharp while the rains pour 🌧️,"Meta, YouTube",H
Aug,Monsoon,Term 1 Mid,Independence Day – Aug 15,National Holiday,Patriotic,All Gr 2–8 families,Free India. Free minds. Strong in Math. 🇮🇳,All platforms,H
Aug,Monsoon,Term 1 Mid,Friendship Day (1st Sunday),Social / Awareness,Fun & Peer,Students Gr 4–8,Math is more fun with friends! Learn together on Cuemath 👫,"Instagram, Meta",M
Aug,Monsoon,Term 1 Mid,Janmashtami,Festival – Hindu,Major Festival,Hindu families,Celebrate the birth of wisdom – ignite your child's Math journey 🦚,"Meta, YouTube",H
Aug,Monsoon,Term 1 Mid,Raksha Bandhan,Festival – Hindu,Family Festival,"Parents, Siblings",Gift your sibling a Cuemath subscription this Rakhi 🎁,"Meta, Instagram",H
Aug,Monsoon,Term 1 – Unit Tests,Unit Test / Class Tests Season,School Rhythm,Regular Tests,Parents of Gr 2–8,Unit test around the corner? Make sure Math isn't the weak link,"Google Search, Meta",H
Aug,Monsoon,Term 1,SOF Olympiad – School Registration Peak,Olympiad,SOF School Olympiad,Students Gr 2–8,Olympiad prep starts now – is your child ready? 🏅,"Google, Meta",H
Aug–Sep (10 days),,,Ganesh Chaturthi,Regional Festival,West,"Joyful, devotional, community pride",Ganpati Bappa Morya! Bless your child's Math journey with wisdom 🐘,"Meta, Instagram (Maharashtra/Karnataka geo)",H
"Aug–Sep (10 days, Thiruvananthapuram-based)",,,Onam,Regional Festival,South,"Joyful, nostalgic, homecoming warmth – strongest community bonding of the year",Onam Ashamsakal! Celebrate Kerala's biggest festival with a gift of Math 🌸,"Meta (Kerala geo + diaspora), YouTube, Asianet digital",H
Sep,Post-Monsoon,Term 1 – Mid Terms,Teacher's Day – Sep 5,Social / Awareness,Education & Teachers,"Parents, Students Gr 2–8",Behind every Math champion is a great teacher 🎓,"Meta, LinkedIn, YouTube",H
Sep,Post-Monsoon,Term 1 – Mid Terms,International Literacy Day – Sep 8,Social / Awareness,Education,"Parents, Educators",Math literacy = life skills. Is your child future-ready?,"LinkedIn, Meta",M
Sep,Post-Monsoon,Term 1 – Mid Terms,Navratri Begins,Festival – Hindu,Major Festival,Hindu families,Nine nights of celebration – fuel your child's Math energy! 🪔,"Meta, Instagram",H
Sep,Post-Monsoon,Mid-Term Exams,Mid-Term / Half-Yearly Exams (Class 1–8),School Rhythm,Exam Anxiety,Parents of Gr 2–8,Mid-terms are here – ace Math before the second half begins,"Google Search, Meta",H
Sep,Post-Monsoon,Mid-Term Exams,IOQM Exam,Olympiad,Math Olympiad Track,Students Gr 6–8 advanced,IOQM exam day is near – every mark writes your IMO story 🏆,"Google, Math communities",H
Sep–Oct (varies),,,Milad-un-Nabi,Regional Festival,Pan-India,"Spiritual, reflective, knowledge-celebrating (Prophet encouraged learning)","'Seek knowledge, even unto China' – this Milad, gift your child the love of learning",Meta (geo-targeted),M
Sep–Oct (9 nights),,,Navratri (Garba),Regional Festival,West,"Energetic, celebratory, community spirit",Nine nights of celebration – fuel your child's Math energy! 💃 Happy Navratri,"Meta (Gujarat/Rajasthan geo), Instagram, YouTube",H
Oct,Autumn,Diwali Season,Gandhi Jayanti – Oct 2,National Holiday,Values,All segments,"Learn with discipline, grow with integrity 🕊️","Meta, LinkedIn",M
Oct (full moon),,,Karva Chauth,Regional Festival,North,"Family devotion, love for children",The greatest gift to your child this Karva Chauth – the confidence to ace Math 💫,"Meta (North geo), Instagram",M
Oct,Autumn,Diwali Season,Dussehra / Vijayadashami,Festival – Hindu,Major Festival,All Hindu families,Conquer Math fear this Dussehra – victory over every doubt! 🏹,"Meta, YouTube, Instagram",H
Oct,Autumn,Diwali Season,World Mental Health Day – Oct 10,Social / Awareness,Student Wellbeing,"Parents, Students",Math anxiety is real – we make Math stress-free 💚,"Instagram, Meta",H
Oct,Autumn,Diwali Season,Dhanteras,Festival – Hindu,Shopping / Investment,Parents,Invest in your child's most valuable asset – their Math brain 💎,"Meta, Google",H
Oct,Autumn,Diwali Season,Diwali (Deepavali),Festival – Hindu,BIGGEST Festival,All Gr 2–8 families,Light up your child's future this Diwali 🪔 Special offer on Cuemath!,All platforms,H
Day after Diwali,,,Govardhan Puja / Annakut,Regional Festival,North,Post-Diwali warm festive mood,The day after Diwali – still glowing! Keep the festive offer live 🪔,Meta (North/West geo),M
Oct,Autumn,Diwali Break,Diwali School Break,Season,Holiday Learning,Parents of Gr 2–8,Holidays are here – keep Math momentum going with Cuemath,"Meta, Google",H
Oct–Nov (6 days post Diwali),,,Chhath Puja,Regional Festival,Central / North,"Deep devotion, family pride, community-oriented",Celebrate the power of the sun and the power of a sharp mind – Chhath Mubarak 🌅,"Meta (Bihar/UP/Jharkhand geo), Instagram",H
Oct,Autumn,Diwali Season,SOF IMO / NSO Round 1 Exams Begin,Olympiad,SOF School Olympiad,Students Gr 2–8,Olympiad day is here! Did your child prep with Cuemath? 🏅,"Meta, Google",H
Oct–Nov (already in North section – Bihar diaspora key),,,Chhath Puja,Regional Festival,East,Deeply devotional; family sacrifice; very high community bonding,The dedication of Chhath – apply it to your child's Math journey 🌅,Meta (Bihar/Jharkhand geo),H
Nov,Autumn → Winter,Term 2 Begin,National Education Day – Nov 11,Social / Awareness,Education,"Educators, Parents",Quality Math education for every Indian child – our promise,"LinkedIn, Meta",M
Nov,Autumn → Winter,Term 2 Begin,Children's Day – Nov 14,Social / Awareness,Kids Celebration,Parents of Gr 2–8,Happy Children's Day! Give your child the superpower of Math 🎈,"Meta, Instagram, YouTube",H
Nov,Autumn → Winter,Term 2,Guru Nanak Jayanti,Festival – Sikh,Religious Holiday,Sikh families + all,Spread the light of knowledge this Gurpurab 🪔,"Meta, Instagram",H
Nov,Winter,Term 2,Bhai Dooj,Festival – Hindu,Family,"Siblings, Parents",Gift your sibling the joy of learning this Bhai Dooj 🎁,"Meta, Instagram",M
Nov,Winter,Term 2 – Unit Tests,Unit Test Season,School Rhythm,Regular Tests,Parents of Gr 2–8,November unit tests are near – don't let Math catch you off guard,"Google Search, Meta",H
Nov,Winter,Term 2,SOF Olympiad Round 1 (Ongoing),Olympiad,SOF School Olympiad,Students Gr 2–8,Every practice session counts – Olympiad Round 1 is live 🏅,"Meta, Google",H
Nov,Winter,Term 2,RMO (Regional Mathematical Olympiad),Olympiad,Math Olympiad Track,Students Gr 6–8 advanced,RMO is the gateway to India's national Math team 🏆,"Google, Math communities",H
Nov–Dec (Karthigai month),,,Karthigai Deepam,Regional Festival,South,"Spiritual, reflective, light-themed",Let the light of knowledge shine bright this Karthigai Deepam 🪔,Meta (Tamil Nadu geo),M
Dec,Winter,Term 2 Running,National Mathematics Day – Dec 4 (Ramanujan),Math / STEM Day,Math Celebration,All students Gr 2–8,Happy Math Day! Ramanujan had no limits – does your child know their Math story? 🔢,All platforms,H
Dec,Winter,Term 2 Running,Christmas – Dec 25,Festival – Christian,Major Festival,Christian families + Urban,Season of joy – gift your child a Cuemath subscription 🎄,"Meta, Instagram",H
Dec,Winter,Winter Vacation,Winter Vacation Begins,Season,Holiday Learning,Parents of Gr 2–8,School's out for winter – keep the Math momentum alive ❄️,"Meta, Google, YouTube",H
Dec,Winter,Winter Vacation,Year-End / New Year Countdown,Commercial,Goals & Gifting,All Gr 2–8 families,Ring in the New Year with a new Math milestone! 🎆,"Instagram, YouTube",H
Dec,Winter,Term 2,SOF Level 2 Qualifiers Announced,Olympiad,SOF School Olympiad,Students Gr 2–8,You qualified for Level 2! Now prep harder with Cuemath 🥇,"Meta, Google",H
Dec,Winter,Term 2,INMO Prep Season,Olympiad,Math Olympiad Track,Students Gr 7–8 advanced,INMO is the step before the International stage – prepare like a champion,"Google, Math communities",H
Every Month,All Year,Ongoing,Monthly Unit Tests (Class 1–8),School Rhythm,Monthly Tests,Parents of Gr 2–8,Monthly Math test coming up? Practice makes perfect,"Google Search, Meta",H
Apr–Jun,Summer,Summer Vacation,Summer Learning – Always On,Season,Summer Course,Parents of Gr 2–8,3 months to get 1 year ahead in Math ☀️,"Meta, Google, YouTube",H
Jul–Sep,Monsoon,Term 1,Monsoon Indoor Learning – Always On,Season,Seasonal Hook,Parents of Gr 2–8,"Rains outside, Math inside 🌧️","Meta, Instagram",H
Oct–Nov,Autumn,Festive Season,Festive Season – Always On,Season,Festive Offers,Parents of Gr 2–8,India's festive season is the perfect time to invest in your child's future,"Meta, Google",H
